StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,ctrl,oth_fut,oth_now,oth_ctrl,slf_now,slf_fut,Jen_ju1_2,Jen_cf1_2,Jen_rsn_st1,Jen_ca1,Jen_ca1_DO,Jen_sw1,Jen_sw1_DO,Jen_rsn1,Jen_rsn1_DO,Jen_ca2,Jen_ca2_DO,Jen_sw2,Jen_sw2_DO,Jen_rsn2,Jen_ca3,Jen_sw3,Jen_sw3_DO,Jen_rsn3,Jen_rsn3_DO,Jen_cs,Jen_cs_DO,Jen_rsn_st2,Jen_ju2_2,Jen_cf2_2,Jmk_ju1_2,Jmk_cf1_2,Jmk_rsn_st1,Jmk_ca1,Jmk_ca1_DO,Jmk_sw1,Jmk_sw1_DO,Jmk_rsn1,Jmk_rsn1_DO,Jmk_ca2,Jmk_ca2_DO,Jmk_sw2,Jmk_sw2_DO,Jmk_rsn2,Jmk_ca3,Jmk_sw3,Jmk_sw3_DO,Jmk_rsn3,Jmk_rsn3_DO,Jmk_cs,Jmk_cs_DO,Jmk_rsn_st2,Jmk_ju2_1,Jmk_cf2_2,Try_ju1_2,Try_cf1_2,Try_rsn_st1,Try_ca1,Try_ca1_DO,Try_sw1,Try_sw1_DO,Try_rsn1,Try_rsn1_DO,Try_ca2,Try_ca2_DO,Try_sw2,Try_sw2_DO,Try_rsn2,Try_ca3,Try_sw3,Try_sw3_DO,Try_rsn3,Try_rsn3_DO,Try_cs,Try_cs_DO,Try_rsn_st2,Try_ju2_2,Try_cf2_2,Hnz_ju1_2,Hnz_cf1_2,Hnz_rsn_st1,Hnz_ca1,Hnz_ca1_DO,Hnz_sw1,Hnz_sw1_DO,Hnz_rsn1,Hnz_rsn1_DO,Hnz_ca2,Hnz_ca2_DO,Hnz_sw2,Hnz_sw2_DO,Hnz_rsn2,Hnz_ca3,Hnz_sw3,Hnz_sw3_DO,Hnz_rsn3,Hnz_rsn3_DO,Hnz_cs,Hnz_cs_DO,Hnz_rsn_st2,Hnz_ju2_2,Hnz_cf2_2,attn_1,attn_2,before,before_dtls,FL_14_DO,FL_15_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Please be aware that some of the scenarios you are about to read may cause offence and /or stress.
You are reminded that you have the right to withdraw your participation at any time during the study without having to give a reason.
If you wish to volunteer to participate in the above named study please read the statements below and confirm that you consent to participate.


I have read and understood the participant information sheet.
I understand what the project is about, and what the results will be used for.
I understand that what the researchers find out in this study may be shared with others but that my name will not be given to anyone in any written material developed.
I am fully aware of what I will have to do, and of any risks and benefits of the study.
I know that I am choosing to take part in the study and that I can stop taking part in the study at any stage without giving any reason to the researchers.
My anonymised data will be stored indefinitely and may be made publicly available to other researchers in the field through the Open Science Framework.


By agreeing to take part below I confirm that I am 18 years of age or older, I have read and understood this form and I consent to participate in the above named study.



Do you agree to take part?",The study will begin on the next page.,"Anne is a student of philosophy. She generally shows a good understanding of the subject matter, and this is reflected in her grades. Sometimes, however, she may adopt a position on an issue and struggle (or even fail) to defend it.



She is currently taking a course in ethics. For this ethics course, Anne and has been asked to study the following scenario. She must identify if the behaviour described is right or wrong, and provide reasons for her judgement. She must complete and submit this assignment within the next five weeks.



While reading the story on the next page, try to think about the story from Anne’s perspective rather than your own.","Anne is a student of philosophy. She generally shows a good understanding of the subject matter, and this is reflected in her grades. Sometimes, however, she may adopt a position on an issue and struggle (or even fail) to defend it.



She is currently taking a course in ethics. For this ethics course, Anne and has been asked to study the following scenario. She must identify if the behaviour described is right or wrong, and provide reasons for her judgement. She must complete and submit this assignment today.



While reading the story on the next page, try to think about the story from Anne’s perspective rather than your own.","Anne is a student of philosophy. She generally shows a good understanding of the subject matter, and this is reflected in her grades. Sometimes, however, she may adopt a position on an issue and struggle (or even fail) to defend it.



She is currently taking a course in ethics. For this ethics course, Anne and has been asked to study the following scenario. She must identify if the behaviour described is right or wrong, and provide reasons for her judgement.



While reading the story on the next page, try to think about the story from Anne’s perspective rather than your own.","Imagine you taking a philosophy course on ethics. For this ethics course you have been asked to study the scenario on the next page.

 

You must identify if the behaviour described is right or wrong, and provide reasons for your judgement.

 

Imagine you must complete and submit this assignment today.","Imagine you taking a philosophy course on ethics. For this ethics course you have been asked to study the scenario on the next page.

 

You must identify if the behaviour described is right or wrong, and provide reasons for your judgement.

 

Imagine you must complete and submit this assignment within the next five weeks.",How would you rate the behaviour of Jennifer? - Use the slider to indicate your rating:,How confident are you about your judgment? - Use the slider to indicate your rating:,Please provide a reason for this judgment below:,"The body had been donated for research, it was to be discarded the next day. You must agree then that it had obviously fulfilled its purpose?","The body had been donated for research, it was to be discarded the next day. You must agree then that it had obviously fulfilled its purpose? - Display Order",Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,Do you have a reason for your judgment? - Display Order,Do you accept that the body was already dead?,Do you accept that the body was already dead? - Display Order,Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,And do you accept that there was no risk of disease?,Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,Do you have a reason for your judgment? - Display Order,"Jennifer's actions did not harm anyone, or negatively affect anyone.
How can there be anything wrong with what they did?","Jennifer's actions did not harm anyone, or negatively affect anyone.
How can there be anything wrong with what they did? - Display Order",Please provide a reason for this judgment below:,How would you rate the behaviour of Jennifer? - Use the slider to indicate your rating:,How confident are you about your judgment? - Use the slider to indicate your rating:,How would you rate the behaviour of Julie and Mark? - Use the slider to indicate your rating:,How confident are you about your judgment? - Use the slider to indicate your rating:,Please provide a reason for this judgment below:,Do you agree that any concerns regarding reproductive complications are eased by their using of two forms of contraception?,Do you agree that any concerns regarding reproductive complications are eased by their using of two forms of contraception? - Display Order,Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,Do you have a reason for your judgment? - Display Order,"And do you accept that they are both consenting adults, and that they both consented and enjoyed it?","And do you accept that they are both consenting adults, and that they both consented and enjoyed it? - Display Order",Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,And do you concede that nobody else was affected by their actions?,Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,Do you have a reason for your judgment? - Display Order,"Julie and Mark's behaviour did not harm anyone or negatively affect anyone.
How can there be anything wrong with what they did?","Julie and Mark's behaviour did not harm anyone or negatively affect anyone.
How can there be anything wrong with what they did? - Display Order",Please provide a reason for this judgment below:,How would you rate the behaviour of Julie and Mark? - Use the slider to indicate your rating:,How confident are you about your judgment? - Use the slider to indicate your rating:,How would you rate the actions of Paul? - Use the slider to indicate your rating:,How confident are you about your judgment? - Use the slider to indicate your rating:,Please provide a reason for this judgment below:,Do you accept that five people would have died if Paul didn't push the man?,Do you accept that five people would have died if Paul didn't push the man? - Display Order,Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,Do you have a reason for your judgment? - Display Order,And this man is the only way available to stop the trolley? (Paul does not weigh enough),And this man is the only way available to stop the trolley? (Paul does not weigh enough) - Display Order,Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,Do you agree that in stopping the trolley Paul saved the lives of five people?,Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,Do you have a reason for your judgment? - Display Order,"Paul's actions saved the lives of five people.
How can there be anything wrong with what he did?","Paul's actions saved the lives of five people.
How can there be anything wrong with what he did? - Display Order",Please provide a reason for this judgment below:,How would you rate the actions of Paul? - Use the slider to indicate your rating:,How confident are you about your judgment? - Use the slider to indicate your rating:,How would you rate the actions of the Druggist? - Use the slider to indicate your rating:,How confident are you about your judgment? - Use the slider to indicate your rating:,Please provide a reason for this judgment below:,Do you agree that the druggist has to make a living?,Do you agree that the druggist has to make a living? - Display Order,Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,Do you have a reason for your judgment? - Display Order,And do you accept that Heinz broke into the druggist’s store?,And do you accept that Heinz broke into the druggist’s store? - Display Order,Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,And do you accept that he stole from him?,Do you think it is wrong?,Do you think it is wrong? - Display Order,Do you have a reason for your judgment?,Do you have a reason for your judgment? - Display Order,"The druggist was only protecting his livelihood.
How can there be anything wrong with what he did?","The druggist was only protecting his livelihood.
How can there be anything wrong with what he did? - Display Order",Please provide a reason for this judgment below:,How would you rate the actions of the Druggist? - Use the slider to indicate your rating:,How confident are you about your judgment? - Use the slider to indicate your rating:,Please select a word that describes how you are currently feeling:,Select one,Have you encountered this scenario before?,"If ""Yes"" please elaborate",FL_14 - Block Randomizer - Display Order,FL_15 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID73""}","{""ImportId"":""QID74""}","{""ImportId"":""QID75""}","{""ImportId"":""QID84""}","{""ImportId"":""QID77""}","{""ImportId"":""QID76""}","{""ImportId"":""QID5_2""}","{""ImportId"":""QID6_2""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_DO""}","{""ImportId"":""QID10""}","{""ImportId"":""QID10_DO""}","{""ImportId"":""QID9""}","{""ImportId"":""QID9_DO""}","{""ImportId"":""QID12""}","{""ImportId"":""QID12_DO""}","{""ImportId"":""QID13""}","{""ImportId"":""QID13_DO""}","{""ImportId"":""QID15""}","{""ImportId"":""QID11""}","{""ImportId"":""QID14""}","{""ImportId"":""QID14_DO""}","{""ImportId"":""QID16""}","{""ImportId"":""QID16_DO""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_DO""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID19_2""}","{""ImportId"":""QID20_2""}","{""ImportId"":""QID22_2""}","{""ImportId"":""QID23_2""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID25""}","{""ImportId"":""QID25_DO""}","{""ImportId"":""QID26""}","{""ImportId"":""QID26_DO""}","{""ImportId"":""QID27""}","{""ImportId"":""QID27_DO""}","{""ImportId"":""QID28""}","{""ImportId"":""QID28_DO""}","{""ImportId"":""QID29""}","{""ImportId"":""QID29_DO""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID32_DO""}","{""ImportId"":""QID33""}","{""ImportId"":""QID33_DO""}","{""ImportId"":""QID34""}","{""ImportId"":""QID34_DO""}","{""ImportId"":""QID35_TEXT""}","{""ImportId"":""QID36_1""}","{""ImportId"":""QID37_2""}","{""ImportId"":""QID39_2""}","{""ImportId"":""QID40_2""}","{""ImportId"":""QID41_TEXT""}","{""ImportId"":""QID42""}","{""ImportId"":""QID42_DO""}","{""ImportId"":""QID43""}","{""ImportId"":""QID43_DO""}","{""ImportId"":""QID44""}","{""ImportId"":""QID44_DO""}","{""ImportId"":""QID45""}","{""ImportId"":""QID45_DO""}","{""ImportId"":""QID46""}","{""ImportId"":""QID46_DO""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID49_DO""}","{""ImportId"":""QID50""}","{""ImportId"":""QID50_DO""}","{""ImportId"":""QID51""}","{""ImportId"":""QID51_DO""}","{""ImportId"":""QID52_TEXT""}","{""ImportId"":""QID53_2""}","{""ImportId"":""QID54_2""}","{""ImportId"":""QID56_2""}","{""ImportId"":""QID57_2""}","{""ImportId"":""QID58_TEXT""}","{""ImportId"":""QID59""}","{""ImportId"":""QID59_DO""}","{""ImportId"":""QID60""}","{""ImportId"":""QID60_DO""}","{""ImportId"":""QID61""}","{""ImportId"":""QID61_DO""}","{""ImportId"":""QID62""}","{""ImportId"":""QID62_DO""}","{""ImportId"":""QID63""}","{""ImportId"":""QID63_DO""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID66_DO""}","{""ImportId"":""QID67""}","{""ImportId"":""QID67_DO""}","{""ImportId"":""QID68""}","{""ImportId"":""QID68_DO""}","{""ImportId"":""QID69_TEXT""}","{""ImportId"":""QID70_2""}","{""ImportId"":""QID71_2""}","{""ImportId"":""QID81""}","{""ImportId"":""QID79""}","{""ImportId"":""QID82""}","{""ImportId"":""QID83_TEXT""}","{""ImportId"":""FL_14_DO""}","{""ImportId"":""FL_15_DO""}"
