StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,ctrl,oth_fut,oth_now,oth_ctrl,slf_now,slf_fut,Jen_ju1_2,Jen_cf1_2,Jen_rsn_st1,Jen_ca1,Jen_ca1_DO,Jen_sw1,Jen_sw1_DO,Jen_rsn1,Jen_rsn1_DO,Jen_ca2,Jen_ca2_DO,Jen_sw2,Jen_sw2_DO,Jen_rsn2,Jen_ca3,Jen_sw3,Jen_sw3_DO,Jen_rsn3,Jen_rsn3_DO,Jen_cs,Jen_cs_DO,Jen_rsn_st2,Jen_ju2_2,Jen_cf2_2,Jmk_ju1_2,Jmk_cf1_2,Jmk_rsn_st1,Jmk_ca1,Jmk_ca1_DO,Jmk_sw1,Jmk_sw1_DO,Jmk_rsn1,Jmk_rsn1_DO,Jmk_ca2,Jmk_ca2_DO,Jmk_sw2,Jmk_sw2_DO,Jmk_rsn2,Jmk_ca3,Jmk_sw3,Jmk_sw3_DO,Jmk_rsn3,Jmk_rsn3_DO,Jmk_cs,Jmk_cs_DO,Jmk_rsn_st2,Jmk_ju2_1,Jmk_cf2_2,Try_ju1_2,Try_cf1_2,Try_rsn_st1,Try_ca1,Try_ca1_DO,Try_sw1,Try_sw1_DO,Try_rsn1,Try_rsn1_DO,Try_ca2,Try_ca2_DO,Try_sw2,Try_sw2_DO,Try_rsn2,Try_ca3,Try_sw3,Try_sw3_DO,Try_rsn3,Try_rsn3_DO,Try_cs,Try_cs_DO,Try_rsn_st2,Try_ju2_2,Try_cf2_2,Hnz_ju1_2,Hnz_cf1_2,Hnz_rsn_st1,Hnz_ca1,Hnz_ca1_DO,Hnz_sw1,Hnz_sw1_DO,Hnz_rsn1,Hnz_rsn1_DO,Hnz_ca2,Hnz_ca2_DO,Hnz_sw2,Hnz_sw2_DO,Hnz_rsn2,Hnz_ca3,Hnz_sw3,Hnz_sw3_DO,Hnz_rsn3,Hnz_rsn3_DO,Hnz_cs,Hnz_cs_DO,Hnz_rsn_st2,Hnz_ju2_2,Hnz_cf2_2,attn_1,attn_2,before,before_dtls,FL_14_DO,FL_15_DO
2023-08-03 08:04:14,2023-08-03 08:06:40,Survey Preview,,100,146,True,2023-08-03 08:06:41,R_21ifI5rIGlu9S1c,,,,,53.3297,-6.2708,preview,EN,Yes,,I confirm that I have read the above,,,,,4,3,cillian,Yes,Yes|No,No,Yes|No,"No, I do not have a reason","No, I do not have a reason|Unsure|Yes, I have a reason",No,No|Yes,Yes,Yes|No,"No, I do not have a reason",Yes,No,Yes|No,"No, I do not have a reason","No, I do not have a reason|Unsure|Yes, I have a reason",It's wrong and I can provide a valid reason,There is nothing wrong|It's wrong and I can provide a valid reason|It's wrong but I cannot explain why,Cillian,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Basketball,No,cillian,other_future,Jennifer
2023-08-03 08:08:27,2023-08-03 08:10:39,Survey Preview,,100,132,True,2023-08-03 08:10:40,R_2VwfQAg8mepNgIA,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,Cillian,Yes,Yes|No,Yes,Yes|No,Unsure,"Unsure|No, I do not have a reason|Yes, I have a reason",No,No|Yes,No,No|Yes,"Yes, I have a reason",Yes,Yes,No|Yes,"No, I do not have a reason","Unsure|No, I do not have a reason|Yes, I have a reason",It's wrong but I cannot explain why,It's wrong but I cannot explain why|It's wrong and I can provide a valid reason|There is nothing wrong,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Baseball,Yes,cillian,self_now,Julie_and_Mark
2023-08-03 08:39:30,2023-08-03 08:40:54,Survey Preview,,100,83,True,2023-08-03 08:40:57,R_3Htyw9BZs1Llypi,,,,,53.3297,-6.2708,preview,EN,Yes,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,Cillian,Yes,Yes|No,Yes,Yes|No,Unsure,"Unsure|No, I do not have a reason|Yes, I have a reason",Yes,Yes|No,No,No|Yes,"Yes, I have a reason",Yes,No,No|Yes,"No, I do not have a reason","No, I do not have a reason|Yes, I have a reason|Unsure",There is nothing wrong,There is nothing wrong|It's wrong but I cannot explain why|It's wrong and I can provide a valid reason,,4,3,Happy,Baseball,Not sure,,other_future,Heinz
2023-08-03 08:41:14,2023-08-03 08:42:29,Survey Preview,,100,75,True,2023-08-03 08:42:31,R_2QrovaJa3pHXz9e,,,,,53.3297,-6.2708,preview,EN,Yes,I confirm that I am happy to proceed,,,,,,7,2,cillian,No,No|Yes,No,Yes|No,Unsure,"No, I do not have a reason|Unsure|Yes, I have a reason",No,No|Yes,Yes,No|Yes,"Yes, I have a reason",No,Yes,No|Yes,"No, I do not have a reason","No, I do not have a reason|Yes, I have a reason|Unsure",It's wrong and I can provide a valid reason,It's wrong and I can provide a valid reason|It's wrong but I cannot explain why|There is nothing wrong,Cillian,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happy,Baseball,Not sure,,Control,Jennifer
2023-08-03 08:42:41,2023-08-03 08:45:05,Survey Preview,,100,143,True,2023-08-03 08:45:06,R_1CBVRgkjv3Qlwil,,,,,53.3297,-6.2708,preview,EN,Yes,I confirm that I am happy to proceed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,Cillian,Yes,Yes|No,No,No|Yes,"No, I do not have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",Yes,No|Yes,Yes,Yes|No,"Yes, I have a reason",Yes,No,Yes|No,"No, I do not have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",It's wrong but I cannot explain why,There is nothing wrong|It's wrong but I cannot explain why|It's wrong and I can provide a valid reason,,6,1,,,,,,,,,,,,,,,,,,,,,,,,,Enthusiastic,Baseball,Yes,I work with it I am Cillian,Control,Trolley
2023-08-03 08:45:56,2023-08-03 08:48:09,Survey Preview,,100,132,True,2023-08-03 08:48:10,R_20NA7jfd3Io2LPr,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,4,3,Cillian,No,No|Yes,Yes,No|Yes,"Yes, I have a reason","Unsure|Yes, I have a reason|No, I do not have a reason",Yes,Yes|No,No,No|Yes,"No, I do not have a reason",Yes,No,Yes|No,"Yes, I have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",It's wrong but I cannot explain why,It's wrong but I cannot explain why|It's wrong and I can provide a valid reason|There is nothing wrong,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Happy,Baseball,Yes,Cillian,self_future,Julie_and_Mark
2023-08-03 08:48:24,2023-08-03 08:49:36,Survey Preview,,100,71,True,2023-08-03 08:49:37,R_2CfdUc7xwKkKQow,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,Cillian,Yes,Yes|No,No,No|Yes,Unsure,"Unsure|No, I do not have a reason|Yes, I have a reason",No,No|Yes,Yes,Yes|No,"Yes, I have a reason",No,Yes,Yes|No,"No, I do not have a reason","No, I do not have a reason|Unsure|Yes, I have a reason",It's wrong and I can provide a valid reason,It's wrong and I can provide a valid reason|There is nothing wrong|It's wrong but I cannot explain why,Cillian,5,2,Happy,Baseball,Yes,,self_now,Heinz
2023-08-03 08:51:21,2023-08-03 08:52:25,Survey Preview,,100,64,True,2023-08-03 08:52:27,R_3JaYewh4Fr6Rrg9,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,,I confirm that I have read the above,5,2,Cillian,Yes,Yes|No,No,No|Yes,"No, I do not have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",Yes,Yes|No,Yes,Yes|No,"No, I do not have a reason",Yes,No,Yes|No,"No, I do not have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",There is nothing wrong,There is nothing wrong|It's wrong but I cannot explain why|It's wrong and I can provide a valid reason,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anxious,Baseball,Yes,,self_future,Jennifer
2023-08-03 08:52:34,2023-08-03 08:53:52,Survey Preview,,100,78,True,2023-08-03 08:53:53,R_24jWzPYyWaZ0L0W,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,Cillian,Yes,Yes|No,No,No|Yes,Unsure,"No, I do not have a reason|Unsure|Yes, I have a reason",Yes,No|Yes,No,Yes|No,"Yes, I have a reason",No,Yes,No|Yes,"No, I do not have a reason","Unsure|No, I do not have a reason|Yes, I have a reason",It's wrong but I cannot explain why,There is nothing wrong|It's wrong and I can provide a valid reason|It's wrong but I cannot explain why,,5,3,Sad,Baseball,Yes,cillian,self_future,Heinz
2023-08-03 09:46:12,2023-08-03 09:47:44,Survey Preview,,100,91,True,2023-08-03 09:47:45,R_2ZVJHWCAHtTVK4H,,,,,53.3297,-6.2708,preview,EN,Yes,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,Cillian,Yes,Yes|No,Yes,Yes|No,"No, I do not have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",Yes,Yes|No,Yes,Yes|No,"No, I do not have a reason",Yes,No,Yes|No,"No, I do not have a reason","Unsure|No, I do not have a reason|Yes, I have a reason",It's wrong but I cannot explain why,There is nothing wrong|It's wrong but I cannot explain why|It's wrong and I can provide a valid reason,,7,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enthusiastic,Baseball,No,,other_future,Julie_and_Mark
2023-08-03 09:47:50,2023-08-03 09:49:06,Survey Preview,,100,76,True,2023-08-03 09:49:08,R_1HdWIvaIWvRytLe,,,,,53.3297,-6.2708,preview,EN,Yes,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,Cillian,No,No|Yes,No,Yes|No,Unsure,"Unsure|No, I do not have a reason|Yes, I have a reason",No,No|Yes,No,Yes|No,"Yes, I have a reason",Yes,Yes,No|Yes,"Yes, I have a reason","Yes, I have a reason|Unsure|No, I do not have a reason",It's wrong but I cannot explain why,There is nothing wrong|It's wrong but I cannot explain why|It's wrong and I can provide a valid reason,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,Enthusiastic,Basketball,No,,other_now,Trolley
2023-08-03 09:49:15,2023-08-03 09:50:28,Survey Preview,,100,73,True,2023-08-03 09:50:29,R_3K1XXuSFarTGGpb,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,Cillian,No,No|Yes,Yes,No|Yes,"No, I do not have a reason","No, I do not have a reason|Unsure|Yes, I have a reason",Yes,No|Yes,Yes,Yes|No,"Yes, I have a reason",Yes,No,No|Yes,"Yes, I have a reason","Unsure|No, I do not have a reason|Yes, I have a reason",It's wrong and I can provide a valid reason,There is nothing wrong|It's wrong and I can provide a valid reason|It's wrong but I cannot explain why,Cillian,5,3,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Baseball,Not sure,,self_now,Trolley
2023-08-04 03:25:39,2023-08-04 03:28:52,Survey Preview,,100,193,True,2023-08-04 03:28:54,R_ZEsp6x3gbLyJ4fT,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,cillian,Yes,Yes|No,Yes,Yes|No,"Yes, I have a reason","Yes, I have a reason|Unsure|No, I do not have a reason",Yes,Yes|No,No,No|Yes,"Yes, I have a reason",Yes,No,No|Yes,"No, I do not have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",There is nothing wrong,It's wrong but I cannot explain why|There is nothing wrong|It's wrong and I can provide a valid reason,,6,2,Satisfied,Baseball,Yes,,self_future,Heinz
2023-08-04 03:28:57,2023-08-04 03:30:40,Survey Preview,,100,103,True,2023-08-04 03:30:42,R_OEaGzlC4MMVoaiJ,,,,,53.3297,-6.2708,preview,EN,Yes,I confirm that I am happy to proceed,,,,,,5,3,cillian,Yes,Yes|No,No,No|Yes,"Yes, I have a reason","Unsure|No, I do not have a reason|Yes, I have a reason",Yes,Yes|No,Yes,No|Yes,"Yes, I have a reason",No,No,No|Yes,Unsure,"No, I do not have a reason|Unsure|Yes, I have a reason",There is nothing wrong,There is nothing wrong|It's wrong but I cannot explain why|It's wrong and I can provide a valid reason,,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enthusiastic,Baseball,No,,Control,Jennifer
2023-08-04 03:30:45,2023-08-04 03:32:11,Survey Preview,,100,85,True,2023-08-04 03:32:12,R_1Cei3eeafbhnHec,,,,,53.3297,-6.2708,preview,EN,Yes,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,cillian,No,No|Yes,Yes,Yes|No,"Yes, I have a reason","Yes, I have a reason|Unsure|No, I do not have a reason",No,No|Yes,No,No|Yes,"No, I do not have a reason",Yes,No,Yes|No,Unsure,"Yes, I have a reason|Unsure|No, I do not have a reason",There is nothing wrong,There is nothing wrong|It's wrong but I cannot explain why|It's wrong and I can provide a valid reason,,6,3,Happy,Baseball,Yes,,other_now,Heinz
2023-08-04 03:32:16,2023-08-04 03:35:07,Survey Preview,,100,171,True,2023-08-04 03:35:08,R_WwYFQVv4SJ6tZ0R,,,,,53.3297,-6.2708,preview,EN,Yes,I confirm that I am happy to proceed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,cillian,Yes,Yes|No,Yes,Yes|No,"Yes, I have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",No,Yes|No,Yes,No|Yes,"Yes, I have a reason",No,No,Yes|No,Unsure,"Unsure|Yes, I have a reason|No, I do not have a reason",It's wrong and I can provide a valid reason,It's wrong and I can provide a valid reason|There is nothing wrong|It's wrong but I cannot explain why,cillian,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Baseball,Yes,,Control,Julie_and_Mark
2023-08-04 04:31:46,2023-08-04 04:32:48,Survey Preview,,100,62,True,2023-08-04 04:32:51,R_dndYehCzT4FnM8V,,,,,53.3297,-6.2708,preview,EN,Yes,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,cillian,Yes,Yes|No,Yes,Yes|No,"No, I do not have a reason","No, I do not have a reason|Unsure|Yes, I have a reason",Yes,Yes|No,Yes,No|Yes,"Yes, I have a reason",Yes,No,No|Yes,"Yes, I have a reason","Yes, I have a reason|Unsure|No, I do not have a reason",It's wrong but I cannot explain why,It's wrong but I cannot explain why|There is nothing wrong|It's wrong and I can provide a valid reason,,5,4,Sad,Baseball,Not sure,,other_now,Heinz
2023-08-04 04:32:53,2023-08-04 04:34:06,Survey Preview,,100,73,True,2023-08-04 04:34:08,R_1dsDTKWyQCD3Ccv,,,,,53.3297,-6.2708,preview,EN,Yes,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,cillian,Yes,Yes|No,Yes,Yes|No,"No, I do not have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",No,Yes|No,Yes,No|Yes,"No, I do not have a reason",No,Yes,Yes|No,Unsure,"No, I do not have a reason|Unsure|Yes, I have a reason",It's wrong and I can provide a valid reason,There is nothing wrong|It's wrong and I can provide a valid reason|It's wrong but I cannot explain why,cillian,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Baseball,No,,other_future,Julie_and_Mark
2023-08-04 04:34:10,2023-08-04 04:35:56,Survey Preview,,100,105,True,2023-08-04 04:35:57,R_2Tz5NBOOYK2DbtM,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,cillian,No,No|Yes,Yes,No|Yes,"Yes, I have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",No,Yes|No,Yes,No|Yes,"No, I do not have a reason",No,Yes,No|Yes,"Yes, I have a reason","Unsure|Yes, I have a reason|No, I do not have a reason",There is nothing wrong,There is nothing wrong|It's wrong but I cannot explain why|It's wrong and I can provide a valid reason,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enthusiastic,Baseball,No,,self_now,Julie_and_Mark
2023-08-04 04:35:59,2023-08-04 04:37:07,Survey Preview,,100,67,True,2023-08-04 04:37:08,R_2Sf6FnUwaDmkfUk,,,,,53.3297,-6.2708,preview,EN,Yes,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,3,cillian,No,No|Yes,No,Yes|No,Unsure,"Unsure|No, I do not have a reason|Yes, I have a reason",Yes,Yes|No,No,Yes|No,"Yes, I have a reason",No,No,No|Yes,"No, I do not have a reason","Unsure|No, I do not have a reason|Yes, I have a reason",It's wrong and I can provide a valid reason,It's wrong and I can provide a valid reason|There is nothing wrong|It's wrong but I cannot explain why,cillian,5,3,,,,,,,,,,,,,,,,,,,,,,,,,Sad,Baseball,Yes,,other_now,Trolley
2023-08-04 04:38:16,2023-08-04 04:39:22,Survey Preview,,100,66,True,2023-08-04 04:39:23,R_cAzf1wTMUTB3Iel,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,I confirm that I have read the above,,6,2,cillian,No,No|Yes,Yes,No|Yes,Unsure,"Yes, I have a reason|Unsure|No, I do not have a reason",Yes,No|Yes,No,No|Yes,"No, I do not have a reason",No,No,Yes|No,"No, I do not have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",It's wrong and I can provide a valid reason,It's wrong and I can provide a valid reason|It's wrong but I cannot explain why|There is nothing wrong,cillian,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enthusiastic,Baseball,No,,self_now,Jennifer
2023-08-04 04:39:24,2023-08-04 04:40:22,Survey Preview,,100,57,True,2023-08-04 04:40:23,R_1C1jKjBEp8M9YSH,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,,I confirm that I have read the above,5,4,cillian,Yes,Yes|No,No,No|Yes,"Yes, I have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",Yes,Yes|No,Yes,Yes|No,"No, I do not have a reason",Yes,No,No|Yes,"No, I do not have a reason","No, I do not have a reason|Yes, I have a reason|Unsure",There is nothing wrong,There is nothing wrong|It's wrong but I cannot explain why|It's wrong and I can provide a valid reason,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Baseball,Not sure,,self_future,Jennifer
2023-08-04 04:41:50,2023-08-04 04:42:47,Survey Preview,,100,57,True,2023-08-04 04:42:48,R_Wp9XNkQDJzpySAh,,,,,53.3297,-6.2708,preview,EN,Yes,,,,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,cillian,No,No|Yes,No,No|Yes,Unsure,"Unsure|Yes, I have a reason|No, I do not have a reason",No,No|Yes,Yes,Yes|No,"No, I do not have a reason",Yes,Yes,Yes|No,"No, I do not have a reason","Yes, I have a reason|No, I do not have a reason|Unsure",It's wrong but I cannot explain why,It's wrong but I cannot explain why|It's wrong and I can provide a valid reason|There is nothing wrong,,5,3,,,,,,,,,,,,,,,,,,,,,,,,,Anxious,Bowling,Yes,,self_future,Trolley
2023-08-04 04:42:50,2023-08-04 04:43:49,Survey Preview,,100,58,True,2023-08-04 04:43:50,R_3dKdZhQ5fb3OQcw,,,,,53.3297,-6.2708,preview,EN,Yes,,,,I confirm that I have read the above,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,cillian,No,No|Yes,No,No|Yes,Unsure,"Unsure|Yes, I have a reason|No, I do not have a reason",Yes,No|Yes,No,Yes|No,"Yes, I have a reason",Yes,Yes,No|Yes,"Yes, I have a reason","No, I do not have a reason|Yes, I have a reason|Unsure",It's wrong but I cannot explain why,It's wrong but I cannot explain why|It's wrong and I can provide a valid reason|There is nothing wrong,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Satisfied,Baseball,No,,other_control,Julie_and_Mark
